"trade_id","date","symbol","side","qty","price","commission","client_id","desk"
"T0000001",2026-02-18,"AAPL","SELL",688.0793,43.9936,0.2431,"C0005","FX"
"T0000002",2026-03-06,"EURO","BUY",5.736,102.7843,0.1992,"C0051","FI"
"T0000003",2026-06-02,"GOOG","SELL",382.9818,106.9634,0.3936,"C0054","EQ"
"T0000004",2026-03-15,"NVDA","SELL",974.5238,56.0574,0.2756,"C0022","FI"
"T0000005",2026-05-26,"ORO","BUY",745.068,45.1265,0.2631,"C0026","WEALTH"
"T0000006",2026-05-02,"SP500","BUY",908.2497,67.4133,0.3105,"C0051","WEALTH"
"T0000007",2026-02-18,"META","BUY",797.6137,15.2804,0.0884,"C0007","EQ"
"T0000008",2026-05-08,"BONO2027","SELL",215.1105,40.4074,0.2054,"C0064","EQ"
"T0000009",2026-02-16,"BONO2027","SELL",642.2287,232.7632,0.2909,"C0047","WEALTH"
"T0000010",2026-01-24,"ORO","BUY",88.0713,13.5925,0.0442,"C0005","EQ"
"T0000011",2026-03-12,"META","BUY",345.7321,200.9968,0.2874,"C0052","EQ"
"T0000012",2026-04-10,"AMZN","BUY",977.3841,83.303,0.0712,"C0050","FX"
"T0000013",2026-03-30,"GOOG","SELL",68.0086,40.9211,0.0561,"C0061","EQ"
"T0000014",2026-06-14,"LETRA","SELL",812.6114,327.0436,0.1278,"C0005","EQ"
"T0000015",2026-04-20,"NVDA","SELL",546.0844,52.8702,0.0486,"C0032","DERIV"
"T0000016",2026-01-20,"META","BUY",246.153,248.4646,0.0854,"C0076","EQ"
"T0000017",2026-06-03,"AMZN","SELL",150.528,55.6924,0.226,"C0042","FX"
"T0000018",2026-04-24,"GOOG","SELL",439.0734,85.0076,0.1429,"C0078","WEALTH"
"T0000019",2026-04-21,"BONO2027","SELL",741.1126,34.4848,0.2938,"C0047","EQ"
"T0000020",2026-05-11,"MSFT","BUY",938.8344,25.9801,0.1604,"C0043","FI"
"T0000021",2026-02-10,"META","BUY",780.4129,11.0194,0.0487,"C0016","FI"
"T0000022",2026-03-30,"MSFT","BUY",836.8941,33.1932,0.0682,"C0056","EQ"
"T0000023",2026-01-27,"MSFT","SELL",624.3801,97.6819,0.1496,"C0060","DERIV"
"T0000024",2026-06-13,"BONO2030","BUY",130.6514,22.6069,0.1052,"C0036","WEALTH"
"T0000025",2026-04-19,"AMZN","BUY",150.4592,21.5943,0.2342,"C0031","EQ"
"T0000026",2026-01-05,"SP500","BUY",621.4832,38.4314,0.1488,"C0053","EQ"
"T0000027",2026-06-11,"BONO2027","BUY",225.8582,62.0107,0.0698,"C0010","FI"
"T0000028",2026-04-02,"MSFT","SELL",851.101,36.7567,0.0978,"C0061","EQ"
"T0000029",2026-04-14,"DOLAR","BUY",312.2234,144.0117,0.2505,"C0054","WEALTH"
"T0000030",2026-01-03,"META","BUY",786.7295,69,0.0771,"C0038","WEALTH"
"T0000031",2026-02-27,"NVDA","SELL",558.9646,53.0463,0.0552,"C0003","EQ"
"T0000032",2026-02-11,"BONO2027","BUY",809.3702,22.599,0.1908,"C0066","FX"
"T0000033",2026-01-24,"GOOG","SELL",990.7853,25.8287,0.1517,"C0069","WEALTH"
"T0000034",2026-06-07,"TSLA","SELL",282.2572,78.9386,0.0843,"C0070","EQ"
"T0000035",2026-02-12,"GOOG","SELL",179.4331,41.8507,0.1322,"C0059","EQ"
