"date","client_id","symbol","qty","avg_price","margin_used"
2026-06-30,"C0001","NVDA",81.12,412.5954,11590.2761
2026-06-30,"C0001","AMZN",187.89,111.8877,2877.6814
2026-06-30,"C0001","SP500",190.92,312.1051,18385.4016
2026-06-30,"C0002","META",89.66,436.2792,9594.0069
2026-06-30,"C0002","BONO2027",72.3,94.434,2515.7778
2026-06-30,"C0002","AMZN",147.49,111.8877,6173.8196
2026-06-30,"C0002","AAPL",111.29,164.8615,6154.2078
2026-06-30,"C0002","SP500",155.65,312.1051,13612.076
2026-06-30,"C0002","BONO2030",113,89.0779,3285.0174
2026-06-30,"C0002","GOOG",65.36,116.2111,2205.8038
2026-06-30,"C0002","DOLAR",152.17,1.1411,48.2962
2026-06-30,"C0002","EURO",189.98,1.3031,47.1594
2026-06-30,"C0002","LETRA",152.52,103.2682,3310.9285
2026-06-30,"C0003","GOOG",13.79,116.2111,169.5766
2026-06-30,"C0003","META",92.35,436.2792,4719.7377
2026-06-30,"C0003","DOLAR",111.62,1.1411,29.8582
2026-06-30,"C0003","TSLA",158.29,395.0107,23365.4289
2026-06-30,"C0004","META",141,436.2792,15776.8341
2026-06-30,"C0005","SP500",27.72,312.1051,2399.0345
2026-06-30,"C0005","MSFT",89.06,123.5921,2049.105
2026-06-30,"C0005","GOOG",82.13,116.2111,2891.8689
2026-06-30,"C0006","AAPL",112.15,164.8615,3173.3916
2026-06-30,"C0006","LETRA",116.78,103.2682,3785.9975
2026-06-30,"C0006","META",106.9,436.2792,5770.046
2026-06-30,"C0006","SP500",153.33,312.1051,18782.89
2026-06-30,"C0006","BONO2027",59.4,94.434,975.5935
2026-06-30,"C0006","AMZN",182.54,111.8877,3540.0599
2026-06-30,"C0006","MSFT",124.72,123.5921,5396.6285
2026-06-30,"C0006","BONO2030",43.81,89.0779,608.7922
2026-06-30,"C0006","GOOG",130.91,116.2111,2169.1896
2026-06-30,"C0006","TSLA",20.85,395.0107,1575.4644
2026-06-30,"C0007","ORO",104.11,3052.3091,31882.2213
2026-06-30,"C0008","MSFT",46.43,123.5921,923.7066
2026-06-30,"C0008","EURO",-1.27,1.3031,0
2026-06-30,"C0009","MSFT",82.3,123.5921,1962.8931
2026-06-30,"C0009","META",221.68,436.2792,21535.7248
2026-06-30,"C0009","ORO",106.88,3052.3091,72104.1979
2026-06-30,"C0009","GOOG",118.76,116.2111,3963.4883
2026-06-30,"C0009","BONO2027",172.05,94.434,5996.032
2026-06-30,"C0009","TSLA",58.34,395.0107,7261.6937
2026-06-30,"C0009","LETRA",129.07,103.2682,3586.785
2026-06-30,"C0009","AAPL",106.97,164.8615,5738.7026
2026-06-30,"C0009","AMZN",114.06,111.8877,3123.4782
2026-06-30,"C0009","EURO",133.79,1.3031,35.9554
2026-06-30,"C0009","BONO2030",189.97,89.0779,5265.4014
2026-06-30,"C0009","SP500",27.39,312.1051,1106.8534
2026-06-30,"C0009","NVDA",77.48,412.5954,5208.4173
2026-06-30,"C0010","SP500",76.5,312.1051,3778.2099
2026-06-30,"C0011","NVDA",100.93,412.5954,14386.4441
2026-06-30,"C0011","META",34.74,436.2792,2978.8667
2026-06-30,"C0011","DOLAR",163.61,1.1411,22.3188
2026-06-30,"C0011","BONO2027",222.44,94.434,2987.7708
2026-06-30,"C0011","LETRA",82.45,103.2682,2597.8949
2026-06-30,"C0011","EURO",162.14,1.3031,28.6653
2026-06-30,"C0012","TSLA",144.28,395.0107,12698.0567
2026-06-30,"C0012","MSFT",114.74,123.5921,4192.0488
2026-06-30,"C0012","META",121.46,436.2792,20904.9848
2026-06-30,"C0012","LETRA",90.74,103.2682,3074.2137
2026-06-30,"C0012","AAPL",174.82,164.8615,10924.6138
2026-06-30,"C0012","EURO",32.89,1.3031,7.8276
2026-06-30,"C0013","SP500",147.66,312.1051,12238.7949
2026-06-30,"C0013","AMZN",-40.39,111.8877,0
2026-06-30,"C0013","NVDA",174.64,412.5954,13119.4241
2026-06-30,"C0013","LETRA",166.16,103.2682,2907.8648
2026-06-30,"C0014","AMZN",191.09,111.8877,7454.8307
2026-06-30,"C0015","MSFT",69.34,123.5921,3229.7495
2026-06-30,"C0016","NVDA",88.58,412.5954,9118.2935
2026-06-30,"C0017","GOOG",56.06,116.2111,1550.5322
2026-06-30,"C0017","BONO2030",77.98,89.0779,2198.5764
2026-06-30,"C0018","DOLAR",19.08,1.1411,8.2252
2026-06-30,"C0018","TSLA",58.84,395.0107,4145.8184
2026-06-30,"C0018","AMZN",61.72,111.8877,1354.9456
2026-06-30,"C0018","META",89.07,436.2792,13730.9407
2026-06-30,"C0019","TSLA",49.58,395.0107,5497.9681
2026-06-30,"C0019","EURO",53.16,1.3031,19.3814
