"date","symbol","open","high","low","close","volume"
2026-01-01,"AAPL",150.9288,410.2465,150.7717,409.3667,8819
2026-01-02,"AAPL",409.3667,1110.2973,409.1874,1110.2223,4962
2026-01-03,"AAPL",1110.2223,3052.3498,1106.316,3049.0439,15748
2026-01-04,"AAPL",3049.0439,8177.6127,3043.2113,8170.9872,2869
2026-01-05,"AAPL",8170.9872,22477.8062,8138.3303,22473.8736,8421
2026-01-06,"AAPL",22473.8736,61934.8566,22413.392,61753.6063,5256
2026-01-07,"AAPL",61753.6063,168442.5684,61575.3193,167358.7725,24443
2026-01-08,"AAPL",167358.7725,457981.4345,166473.5776,457710.5679,14865
2026-01-09,"AAPL",457710.5679,1242113.4144,455759.7246,1240026.4697,9200
2026-01-10,"AAPL",1240026.4697,3409956.5732,1239195.6127,3399015.9106,999
2026-01-11,"AAPL",3399015.9106,9177440.9423,3394498.6404,9149864.3185,26877
2026-01-12,"AAPL",9149864.3185,25479613.2751,9148421.6151,25422037.9574,5379
2026-01-13,"AAPL",25422037.9574,69099948.4894,25405574.7541,69003191.9174,13093
2026-01-14,"AAPL",69003191.9174,186209727.2169,68905184.2085,184751417.4197,14308
2026-01-15,"AAPL",184751417.4197,500341610.5257,184521808.1348,499763018.1772,5811
2026-01-16,"AAPL",499763018.1772,1341256241.643,499135244.9083,1339842095.2649,7718
2026-01-17,"AAPL",1339842095.2649,3712048146.6648,1338077802.0976,3688078699.3133,22882
2026-01-18,"AAPL",3688078699.3133,9761494107.8692,3684606638.79,9753667364.8815,12089
2026-01-19,"AAPL",9753667364.8815,26429991551.5875,9736166633.2616,26371956748.7249,57772
2026-01-20,"AAPL",26371956748.7249,71263578856.6535,26329333447.2364,71217444303.2154,5416
2026-01-21,"AAPL",71217444303.2154,191715375110.379,70999858778.3151,191522330404.901,5447
2026-01-22,"AAPL",191522330404.901,524704188363.8,190241710198.484,523466908315.652,5699
2026-01-23,"AAPL",523466908315.652,1428585610582.6,522154532681.177,1427345236138.08,8283
2026-01-24,"AAPL",1427345236138.08,3849301895618.2,1410672490863.34,3845828125471.07,8044
2026-01-25,"AAPL",3845828125471.07,10350295562706.3,3834656181714.96,10316463582208.3,3882
2026-01-26,"AAPL",10316463582208.3,27957636343761.1,10298458022554.6,27905906326612.8,8383
2026-01-27,"AAPL",27905906326612.8,75616069437423.9,27807556888213.8,75609986970720.1,3454
2026-01-28,"AAPL",75609986970720.1,209953913384008,74974897369480.3,209785157099162,15470
2026-01-29,"AAPL",209785157099162,572134038769761,209420150793615,571285614875668,8722
2026-01-30,"AAPL",571285614875668,1568734427410602,569920282635993,1565118162560940,3848
